date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:21:00	54585/54585	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:20:58%20GMT	https://swiftsecure.net/account-savings	C:/My%20Web%20Sites/Ben/swiftsecure.net/account-savings.html	(from https://swiftsecure.net/)
07:21:02	54585/54585	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:01%20GMT	https://swiftsecure.net/account-current	C:/My%20Web%20Sites/Ben/swiftsecure.net/account-current.html	(from https://swiftsecure.net/)
07:21:03	54645/54645	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:02%20GMT	https://swiftsecure.net/account-fixed-dep	C:/My%20Web%20Sites/Ben/swiftsecure.net/account-fixed-dep.html	(from https://swiftsecure.net/)
07:21:03	2096489/2096489	U-----	200	untouched ('')	image/png	etag:%22649e2a08-1ffd69%22	https://swiftsecure.net/assets/images/resources/logo-1.png	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/resources/logo-1.png	(from https://swiftsecure.net/)
07:21:03	42712/42712	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:20:58%20GMT	https://swiftsecure.net/accounts	C:/My%20Web%20Sites/Ben/swiftsecure.net/accounts.html	(from https://swiftsecure.net/)
07:21:03	48902/48902	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:20:59%20GMT	https://swiftsecure.net/contact	C:/My%20Web%20Sites/Ben/swiftsecure.net/contact.html	(from https://swiftsecure.net/)
07:21:04	54577/54577	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:02%20GMT	https://swiftsecure.net/account-salary	C:/My%20Web%20Sites/Ben/swiftsecure.net/account-salary.html	(from https://swiftsecure.net/)
07:21:04	54681/54681	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/account-nri	C:/My%20Web%20Sites/Ben/swiftsecure.net/account-nri.html	(from https://swiftsecure.net/)
07:21:04	54665/54665	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/account-recuring-dep	C:/My%20Web%20Sites/Ben/swiftsecure.net/account-recuring-dep.html	(from https://swiftsecure.net/)
07:21:04	39690/39690	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/cards	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards.html	(from https://swiftsecure.net/)
07:21:19	46136/46136	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/cards-business	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards-business.html	(from https://swiftsecure.net/)
07:21:19	45695/45695	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/cards-law-interest	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards-law-interest.html	(from https://swiftsecure.net/)
07:21:20	45785/45785	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/cards-rewards	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards-rewards.html	(from https://swiftsecure.net/)
07:21:20	45810/45810	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:03%20GMT	https://swiftsecure.net/cards-cashback	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards-cashback.html	(from https://swiftsecure.net/)
07:21:21	48436/48436	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:20%20GMT	https://swiftsecure.net/about	C:/My%20Web%20Sites/Ben/swiftsecure.net/about.html	(from https://swiftsecure.net/)
07:21:21	45698/45698	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:19%20GMT	https://swiftsecure.net/cards-secured	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards-secured.html	(from https://swiftsecure.net/)
07:21:21	45670/45670	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:20%20GMT	https://swiftsecure.net/cards-travel-hotel	C:/My%20Web%20Sites/Ben/swiftsecure.net/cards-travel-hotel.html	(from https://swiftsecure.net/)
07:21:21	35745/35745	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:20%20GMT	https://swiftsecure.net/team	C:/My%20Web%20Sites/Ben/swiftsecure.net/team.html	(from https://swiftsecure.net/)
07:21:22	37127/37127	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:20%20GMT	https://swiftsecure.net/careers	C:/My%20Web%20Sites/Ben/swiftsecure.net/careers.html	(from https://swiftsecure.net/)
07:21:22	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2007:21:21%20GMT	https://swiftsecure.net/assets/vendors/owl-carousel/owl.video.play.html	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/vendors/owl-carousel/owl.video.play.html	(from https://swiftsecure.net/assets/vendors/owl-carousel/owl.carousel.min.css)
07:21:37	42553/42553	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:21%20GMT	https://swiftsecure.net/testimonials	C:/My%20Web%20Sites/Ben/swiftsecure.net/testimonials.html	(from https://swiftsecure.net/)
07:21:37	13602/13602	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:21%20GMT	https://swiftsecure.net/login	C:/My%20Web%20Sites/Ben/swiftsecure.net/login.html	(from https://swiftsecure.net/)
07:21:37	36026/36026	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:21%20GMT	https://swiftsecure.net/careers-details	C:/My%20Web%20Sites/Ben/swiftsecure.net/careers-details.html	(from https://swiftsecure.net/)
07:21:37	16599/16599	U--M-Z	200	updated ('OK')	text/html	date:Mon,%2008%20Jan%202024%2007:21:21%20GMT	https://swiftsecure.net/register	C:/My%20Web%20Sites/Ben/swiftsecure.net/register.html	(from https://swiftsecure.net/)
07:21:38	47293/47293	U-----	200	untouched ('')	image/png	etag:%22649e326a-b8bd%22	https://swiftsecure.net/assets/images/shapes/slider-1-shape-1.png	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/shapes/slider-1-shape-1.png	(from https://swiftsecure.net/)
07:21:38	175858/175858	U-----	200	untouched ('')	image/jpeg	etag:%2262fb4388-2aef2%22	https://swiftsecure.net/assets/images/slides/slide-v1-2.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/slides/slide-v1-2.jpg	(from https://swiftsecure.net/)
07:21:38	218869/218869	U-----	200	untouched ('')	image/jpeg	etag:%2262fb4388-356f5%22	https://swiftsecure.net/assets/images/slides/slide-v1-1.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/slides/slide-v1-1.jpg	(from https://swiftsecure.net/)
07:21:38	226255/226255	U-----	200	untouched ('')	image/jpeg	etag:%2262fb4388-373cf%22	https://swiftsecure.net/assets/images/slides/slide-v1-3.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/slides/slide-v1-3.jpg	(from https://swiftsecure.net/)
07:21:38	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2007:21:37%20GMT	https://swiftsecure.net/assets/vendors/vegas/overlays/02.html	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/vendors/vegas/overlays/02.html	(from https://swiftsecure.net/assets/vendors/vegas/vegas.min.css)
07:21:54	3688/3688	U-----	200	untouched ('')	image/png	etag:%2262c2be44-e68%22	https://swiftsecure.net/assets/images/shapes/shape-1.png	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/shapes/shape-1.png	(from https://swiftsecure.net/)
07:21:54	5750/5750	U-----	200	untouched ('')	image/png	etag:%2262f3332e-1676%22	https://swiftsecure.net/assets/images/shapes/counting-box-bg.png	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/shapes/counting-box-bg.png	(from https://swiftsecure.net/)
07:21:54	3547/3547	U-----	200	untouched ('')	image/png	etag:%2262c2bed8-ddb%22	https://swiftsecure.net/assets/images/shapes/shape-2.png	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/shapes/shape-2.png	(from https://swiftsecure.net/)
07:21:54	161772/161772	U-----	200	untouched ('')	image/jpeg	etag:%2262fb4668-277ec%22	https://swiftsecure.net/assets/images/backgrounds/service-style1.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/backgrounds/service-style1.jpg	(from https://swiftsecure.net/)
07:21:55	43409/43409	U-----	200	untouched ('')	image/jpeg	etag:%2262fb431c-a991%22	https://swiftsecure.net/assets/images/resources/wealth-secure-1.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/resources/wealth-secure-1.jpg	(from https://swiftsecure.net/)
07:21:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2007:21:54%20GMT	https://swiftsecure.net/assets/assets/language-switcher/gb.html	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/assets/language-switcher/gb.9b.delayed	(from https://swiftsecure.net/assets/vendors/language-switcher/polyglot-language-switcher.css)
07:21:55	48672/48672	U-----	200	untouched ('')	image/jpeg	etag:%2262fb431c-be20%22	https://swiftsecure.net/assets/images/resources/wealth-secure-2.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/resources/wealth-secure-2.jpg	(from https://swiftsecure.net/)
07:21:55	67144/67144	U-----	200	untouched ('')	image/jpeg	etag:%2262fb431c-10648%22	https://swiftsecure.net/assets/images/resources/wealth-secure-3.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/resources/wealth-secure-3.jpg	(from https://swiftsecure.net/)
07:21:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2008%20Jan%202024%2007:21:54%20GMT	https://swiftsecure.net/assets/assets/language-switcher/fr.html	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/assets/language-switcher/fr.html	(from https://swiftsecure.net/assets/vendors/language-switcher/polyglot-language-switcher.css)
07:21:55	51352/51352	U-----	200	untouched ('')	image/jpeg	etag:%2262fb431c-c898%22	https://swiftsecure.net/assets/images/resources/wealth-secure-4.jpg	C:/My%20Web%20Sites/Ben/swiftsecure.net/assets/images/resources/wealth-secure-4.jpg	(from https://swiftsecure.net/)
